gene,log2FC,p_value,q_value
MSX2P1,0.96968406,7.042375358415854e-19,1.3862943618928847e-17
CDK5R2,0.30134615,7.145962153381928e-19,1.395920507909373e-17
CCR1,-0.25022364,7.147113000495991e-19,1.395920507909373e-17
SYNM,-0.15645882,7.941246926470608e-19,1.5449896744106242e-17
C12orf59,-0.3843828,8.218092081750813e-19,1.5926535042152738e-17
GPR84,-0.5411315,8.564219080037791e-19,1.6533241467254425e-17
ASPHD1,0.19003864,8.737535791617948e-19,1.6802953445419133e-17
FCGR1C,-0.32260543,8.77615620353719e-19,1.6812559776891167e-17
IRX5,-0.9969768,8.98398847575089e-19,1.7145016175097117e-17
SELPLG,-0.18297997,9.241453827332972e-19,1.7569303854245192e-17
NCF1,-0.3517491,9.614159249636827e-19,1.820863494249399e-17
S100A6,-0.14798777,9.938167927611207e-19,1.8751260240775864e-17
LOC145837,0.38242573,1.0236437450460139e-18,1.924142377906041e-17
TLR6,-0.39236128,1.0991223945417475e-18,2.0582816377186282e-17
FCGR1B,-0.24324153,1.1546656772747262e-18,2.154227009840907e-17
FAM123C,0.4586225,1.2049615838750463e-18,2.2397055462361454e-17
SIGLEC10,-0.20075792,1.5443683804303754e-18,2.859941445241436e-17
ACTL6B,0.34588748,1.6451170729408686e-18,3.025787563955422e-17
SCN3B,0.23632142,1.6460284347917496e-18,3.025787563955422e-17
CARD11,-0.23044461,1.684086769966537e-18,3.084408003601716e-17
HCG22,-0.5747142,1.7046986215773935e-18,3.110763907987944e-17
DCTD,-0.16400397,1.7246666706803713e-18,3.13575758305522e-17
TEX19,1.1232,1.8212548420365122e-18,3.299374713834261e-17
IQSEC3,0.38233206,1.9167846362037636e-18,3.459900065349754e-17
UNC13A,0.17333098,1.9389982311490647e-18,3.487406890555872e-17
CX3CR1,-0.24481596,2.404025146958356e-18,4.308288793832179e-17
LEPREL1,-0.2847531,2.465199876028458e-18,4.402142635765103e-17
EPHA10,0.3285711,2.482815037249439e-18,4.4178203509776497e-17
BATF3,-0.3337141,2.4917299332584312e-18,4.417960874571687e-17
TNC,-0.18388255,2.6041218143569167e-18,4.6009219334927856e-17
HRH3,0.44811243,2.795000479043984e-18,4.920775491274619e-17
ANG,-0.35304528,2.8118806075774843e-18,4.933123872942955e-17
TLR2,-0.2706893,3.213503061489676e-18,5.618012345261672e-17
TUBB6,-0.17940538,3.5931261679302545e-18,6.259801686289642e-17
TLX1NB,1.3032316,3.6399116370004665e-18,6.319291036459143e-17
ATOH8,0.1856324,3.960330395321912e-18,6.851782690868361e-17
RNASE6,-0.21493801,4.2369155260476836e-18,7.30502676904773e-17
KCNC1,0.20051566,4.321059531869222e-18,7.424500913864644e-17
OLFM4,0.57119536,5.0726742965456945e-18,8.68608612422208e-17
ITGAX,-0.20446335,5.133236497916891e-18,8.759789245591964e-17
CAMK4,0.5037054,5.47249442257008e-18,9.306963303690612e-17
SMPD3,0.18397726,5.63738037126366e-18,9.554881985192645e-17
C11orf45,-0.32157877,5.690468745457282e-18,9.612278286245409e-17
ADAM28,-0.25088134,6.97450133412679e-18,1.172745258204313e-16
EBI3,-0.24618188,6.989561738897706e-18,1.172745258204313e-16
GABRB3,0.22537103,7.186629691739091e-18,1.2017775404245973e-16
RNASE3,-0.75423074,7.293230381839054e-18,1.2155383969731757e-16
SIGLEC9,-0.34180847,7.872925761909824e-18,1.3077949770614328e-16
CD300A,-0.20499118,7.911376270424417e-18,1.3098305083484134e-16
NRSN1,0.24571648,8.163595329146636e-18,1.3471279421034053e-16
KCNH6,0.85295033,9.19813160438956e-18,1.51285059282723e-16
APOBEC3G,-0.28125852,9.755485697922065e-18,1.599259950479027e-16
EN2,-0.5311739,1.0768313405555431e-17,1.7595283342410836e-16
RNASE4,-0.25702885,1.3699820216159696e-17,2.2249660900588383e-16
ARHGAP6,-0.2264232,1.3705791114762446e-17,2.2249660900588383e-16
SCRT1,0.3713994,1.4006537760713996e-17,2.2664300583679606e-16
KCNH7,0.7907783,1.5629931722090466e-17,2.52095672936943e-16
HOXA10,-1.5038314,1.5891701318025975e-17,2.5549359032196104e-16
VSTM2A,0.45293444,1.6515787541766575e-17,2.6467608240010537e-16
C1QA,-0.16090484,1.7530831395035525e-17,2.8004522995264414e-16
SH3TC1,-0.19735476,1.786502944838526e-17,2.8447499121632585e-16
FRMPD1,0.2569003,1.8069767596865724e-17,2.8591404425420445e-16
SPNS3,-0.4403252,1.802233538809711e-17,2.8591404425420445e-16
CCR5,-0.43363315,2.0179600260119642e-17,3.1829022492302276e-16
FPR1,-0.28799564,2.152621073793681e-17,3.384624329864278e-16
MAN1C1,-0.19205241,2.2701667864213203e-17,3.558255151130596e-16
TLR10,-0.35273042,2.2998266498604962e-17,3.5934791404070253e-16
VAMP8,-0.19045617,2.3089233638876396e-17,3.596453837831215e-16
P2RY13,-0.22407903,2.3663566776688907e-17,3.674466890790203e-16
SPOCD1,-0.5064516,2.5528659220853424e-17,3.951804832949446e-16
SIGLEC11,-0.3795864,2.58966036812028e-17,3.996389456975741e-16
C20orf197,-0.5697972,2.958748775371704e-17,4.551921192879544e-16
